 Team ID,     Time, Altitude,   Outside Temp,    Inside Temp,  Voltage,  State, Xaccel, Yaccel, Zaccel,  Count 
    1001,     2848,        0,              0,             31, 3.965684,   Test, 0.03125, 0.02758789, 0.9978027,      0
    1001,     2851,        0,              0,             31, 3.923912,   Test, 0.02832031, 0.01757813, 1.00415,      1
    1001,     2852,        0,              0,             31, 3.924264,   Test, -0.01000977, 0.009521484, 0.9956055,      2
    1001,     2853,        0,              0,             31, 3.950046,   Test, -0.1274414, -0.05810547, 1.07666,      3
    1001,     2854,        0,              0,             31, 3.978153,   Test, -0.1643066, 0.15625, 0.9411621,      4
    1001,     2855,        0,              0,             31,  3.91884,   Test, -0.2910156, 0.1040039, 0.9753418,      5
    1001,     2856,        0,              0,             31, 3.926941,   Test, -0.2697754, 0.2099609, 0.9309082,      6
    1001,     2857,        0,              0,             31, 3.924476,   Test, -0.2556152, 0.1196289, 0.9318848,      7
    1001,     2858,        0,              0,             31, 3.922856,   Test, -0.3864746, 0.02148438, 0.9436035,      8
    1001,     2859,        0,              0,             31, 3.917784,   Test, -0.3395996, 0.1708984, 0.9604492,      9
    1001,     2860,        0,              0,             31, 3.965191,   Test, -0.3139648, 0.09179688, 0.9226074,     10
    1001,     2861,        0,              0,             31, 3.963712,   Test, -0.3479004, 0.1022949, 0.9074707,     11
    1001,     2862,        0,              0,             31, 3.923349,   Test, -0.2011719, 0.1928711, 0.9660645,     12
    1001,     2863,        0,              0,             31, 3.924264,   Test, -0.1035156, 0.1037598, 1.040771,     13
    1001,     2864,        0,              0,             31,  3.91088,   Test, -0.4597168, 0.1164551, 0.9675293,     14
    1001,     2865,        0,              0,             31, 3.931943,   Test, -0.3305664, 0.2341309, 0.909668,     15
    1001,     2866,        0,              0,             31, 3.961176,   Test, -0.2207031, 0.1674805, 0.8620605,     16
    1001,     2867,        0,              0,             31, 3.996327,   Test, -0.2998047, 0.1574707, 0.9174805,     17
    1001,     2869,        0,              0,             31, 3.923771,   Test, -0.2416992, 0.1132813, 0.9602051,     19
    1001,     2870,        0,              0,             31, 3.922856,   Test, -0.2485352, 0.1132813, 0.9667969,     20
    1001,     2871,        0,              0,             31, 3.919967,   Test, -0.2558594, 0.1279297, 0.947998,     21
    1001,     2872,        0,              0,             31, 3.921447,   Test, -0.2575684, 0.1206055, 0.9606934,     22
    1001,     2872,        0,              0,             31, 3.996186,   Test, -0.255127, 0.1171875, 0.9375,     23
    1001,     2872,        0,              0,             31, 3.973644,   Test, -0.2624512, 0.09741211, 0.9208984,     24
    1001,     2872,        0,              0,             31, 3.969841,   Test, -0.2731934, 0.1201172, 0.9440918,     25
    1001,     2872,        0,              0,             31, 3.932365,   Test, -0.269043, 0.1230469, 0.9404297,     26
    1001,     2872,        0,              0,             31, 3.922503,   Test, -0.2568359, 0.1079102, 0.9624023,     27
    1001,     2873,        0,              0,             31, 3.923349,   Test, -0.2739258, 0.1057129, 0.9570313,     28
    1001,     2873,        0,              0,             31, 3.923349,   Test, -0.2653809, 0.1157227, 0.940918,     29
    1001,     2873,        0,              0,             31, 3.864248,   Test, -0.2412109, 0.1137695, 0.951416,     30
    1001,     2873,        0,              0,             31, 3.918981,   Test, -0.2565918, 0.1049805, 0.9550781,     31
    1001,     2873,        0,              0,             31, 3.855231,   Test, -0.2695313, 0.1164551, 0.9572754,     32
    1001,     2873,        0,              0,             31, 3.855231,   Test, -0.2502441, 0.1125488, 0.9311523,     33
    1001,     2873,        0,              0,             31, 3.913839,   Test, -0.2521973, 0.1103516, 0.9475098,     34
    1001,     2873,        0,              0,             31, 3.904822,   Test, -0.2626953, 0.1140137, 0.9523926,     35
    1001,     2879,        0,              0,             31,  3.83269,   Test, 0.02807617, 0.0300293, 0.9995117,     53
    1001,     2880,        0,              0,             31, 3.855583,   Test, 0.03808594, 0.03515625, 0.9907227,     54
    1001,     2881,        0,              0,             31, 3.890734,   Test, 0.02758789, 0.03125, 0.9985352,     55
    1001,     2882,        0,              0,             31, 3.832126,   Test, 0.0324707, 0.03149414, 1.000977,     56
    1001,     2883,        0,              0,             31, 3.833112,   Test, 0.02807617, 0.02783203, 1.009521,     57
    1001,     2884,        0,              0,             31, 3.833183,   Test, 0.03271484, 0.03100586, 1.005859,     58
    1001,     2885,        0,              0,             31, 3.828674,   Test, 0.02880859, 0.02709961, 0.9963379,     59
    1001,     2886,        0,              0,             31, 3.854667,   Test, 0.02685547, 0.03491211, 1.000977,     60
    1001,     2887,        0,              0,             31, 3.889607,   Test, 0.02636719, 0.03149414, 1.003662,     61
    1001,     2888,        0,              0,             31, 3.890734,   Test, 0.02685547, 0.02929688, 1.003418,     62
    1001,     2889,        0,              0,             31, 3.832971,   Test, 0.02661133, 0.03125, 1.001709,     63
    1001,     2890,        0,              0,             31, 3.828674,   Test, 0.03857422, 0.05175781, 0.9916992,     64
    1001,     2891,        0,              0,             31, 3.833183,   Test, 0.01733398, 0.02758789, 0.9995117,     65
    1001,     2892,        0,              0,             31, 3.854667,   Test, 0.02661133, 0.03320313, 1.008301,     66
    1001,     2893,        0,              0,             31, 3.960683,   Test, 0.02954102, 0.02734375, 1.000244,     67
    1001,     2894,        0,              0,             31, 3.954414,   Test, 0.02978516, 0.03515625, 1.000732,     68
    1001,     2895,        0,              0,             31, 3.909753,   Test, 0.02490234, 0.03369141, 0.9936523,     69
    1001,     2896,        0,              0,             31, 3.913487,   Test, 0.02612305, 0.02929688, 0.9997559,     70
    1001,     2897,        0,              0,             31, 3.914332,   Test, 0.03125, 0.03369141, 1.00293,     71
